page_id,name,urlslug,ID,ALIGN,EYE,HAIR,SEX,GSM,ALIVE,APPEARANCES,FIRST APPEARANCE,Year
2097,Theodore Sallis ,\/Theodore_Sallis_,Secret Identity,Good Characters,Red Eyes,No Hair,Male Characters,,Living Characters,249,May-71,1971
2421,Adrian Toomes ,\/Adrian_Toomes_,Public Identity,Bad Characters,Hazel Eyes,Bald,Male Characters,,Living Characters,248,May-63,1963
1514,Amora ,\/Amora_,Public Identity,Bad Characters,Green Eyes,Blond Hair,Female Characters,,Living Characters,247,Apr-64,1964
1335,Clea ,\/Clea_,No Dual Identity,Good Characters,Blue Eyes,White Hair,Female Characters,,Living Characters,247,Nov-64,1964
1289,Mar-Vell ,\/Mar-Vell_,Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Deceased Characters,245,Dec-67,1967
2309,Eugene Judd ,\/Eugene_Judd_,Public Identity,Good Characters,Brown Eyes,Bald,Male Characters,,Living Characters,245,Aug-83,1983
1813,Daimon Hellstrom ,\/Daimon_Hellstrom_,No Dual Identity,Neutral Characters,Red Eyes,Red Hair,Male Characters,,Living Characters,242,Sep-73,1973
76396,John Jonah Jameson III ,\/John_Jonah_Jameson_III_,No Dual Identity,Good Characters,Brown Eyes,Auburn Hair,Male Characters,,Living Characters,240,Mar-63,1963
2497,Triton ,\/Triton_,No Dual Identity,Good Characters,Green Eyes,No Hair,Male Characters,,Living Characters,240,Dec-65,1965
2138,Meggan Puceanu ,\/Meggan_Puceanu_,Secret Identity,Good Characters,,,Female Characters,,Living Characters,240,Dec-83,1983
6517,Robert Reynolds ,\/Robert_Reynolds_,Secret Identity,Neutral Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,240,Sep-00,2000
2351,Aleksei Sytsevich ,\/Aleksei_Sytsevich_,Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,,Deceased Characters,239,Oct-66,1966
15903,Santo Vaccarro ,\/Santo_Vaccarro_,Secret Identity,Good Characters,White Eyes,No Hair,Male Characters,,Living Characters,238,Sep-03,2003
